utterance,intent
alo có ai không,chao_hoi
hi,chao_hoi
good morning,chao_hoi
alo bot,chao_hoi
ê bạn,chao_hoi
chào anh ơi,chao_hoi
hello,chao_hoi
hi bạn,chao_hoi
chào hệ thống,chao_hoi
chào chatbot,chao_hoi
xin chào bạn ơi,chao_hoi
chào cậu,chao_hoi
yo,chao_hoi
good evening,chao_hoi
chào ad,chao_hoi
tạm biệt bạn,tam_biet
thoát,tam_biet
kết thúc chat,tam_biet
kết thúc,tam_biet
đóng phiên,tam_biet
hẹn gặp lại,tam_biet
chào nhé,tam_biet
hẹn dịp khác,tam_biet
see you,tam_biet
end chat,tam_biet
xin phép dừng,tam_biet
cảm ơn mình nghỉ,tam_biet
mình đi đây,tam_biet
chào tạm biệt,tam_biet
reset phiên làm việc,reset_context
bắt đầu câu hỏi mới,reset_context
bỏ qua câu trước,reset_context
xóa lịch sử,reset_context
xóa ngữ cảnh,reset_context
xóa lịch sử hội thoại,reset_context
start over,reset_context
reset cuộc trò chuyện,reset_context
new chat,reset_context
quên hết đi,reset_context
làm mới phiên chat,reset_context
xóa hết câu trước,reset_context
xóa trạng thái,reset_context
làm mới đoạn chat,reset_context
bắt đầu lại từ đầu,reset_context
xóa hết hội thoại,reset_context
xóa ngữ cảnh trước,reset_context
reset lại đi,reset_context
xóa hết lịch sử,reset_context
khởi động lại,reset_context
clear chat,reset_context
start new chat,reset_context
reset,reset_context
cách dùng chatbot,tro_giup
help,tro_giup
làm thế nào để hỏi,tro_giup
help me,tro_giup
mình cần giúp,tro_giup
giúp tôi với,tro_giup
cần hướng dẫn,tro_giup
không biết dùng,tro_giup
có những câu hỏi nào,tro_giup
trợ giúp,tro_giup
hướng dẫn sử dụng,tro_giup
cho tôi menu câu hỏi,tro_giup
tôi cần trợ giúp,tro_giup
hỗ trợ mình với,tro_giup
ờm cái kia là gì,fallback
nói đại cái gì đó,fallback
random text,fallback
???,fallback
không rõ nữa,fallback
không biết hỏi gì,fallback
điểm chuẩn thiết kế đồ họa năm 2023,hoi_diem_chuan
điểm chuẩn 2022 của kiến trúc là bao nhiêu,hoi_diem_chuan
điểm vào kiến trúc năm gần nhất,hoi_diem_chuan
điểm chuẩn 2022 của thiết kế đồ họa là bao nhiêu,hoi_diem_chuan
điểm chuẩn kiến trúc nội thất năm 2023,hoi_diem_chuan
điểm vào kỹ thuật xây dựng năm gần nhất,hoi_diem_chuan
điểm chuẩn ngành kiến trúc năm 2023,hoi_diem_chuan
điểm chuẩn ngành xây dựng dân dụng 2021,hoi_diem_chuan
điểm vào quy hoạch năm gần nhất,hoi_diem_chuan
điểm năm trước của ngành nội thất,hoi_diem_chuan
điểm chuẩn quy hoạch năm 2023,hoi_diem_chuan
điểm chuẩn 2022 của kỹ thuật xây dựng là bao nhiêu,hoi_diem_chuan
điểm vào kiến trúc nội thất năm gần nhất,hoi_diem_chuan
điểm trúng tuyển năm ngoái ngành kỹ thuật xây dựng,hoi_diem_chuan
điểm chuẩn 2022 của ngành quy hoạch là bao nhiêu,hoi_diem_chuan
điểm chuẩn thiết kế thời trang năm 2023,hoi_diem_chuan
điểm vào ngành thiết kế đồ họa năm gần nhất,hoi_diem_chuan
điểm chuẩn 2022 của mỹ thuật đô thị là bao nhiêu,hoi_diem_chuan
điểm chuẩn 2022 của kiến trúc nội thất là bao nhiêu,hoi_diem_chuan
điểm trúng tuyển năm ngoái ngành thiết kế thời trang,hoi_diem_chuan
điểm trúng tuyển năm ngoái ngành kiến trúc nội thất,hoi_diem_chuan
điểm trúng tuyển năm ngoái ngành thiết kế đồ họa,hoi_diem_chuan
điểm chuẩn mỹ thuật đô thị năm 2023,hoi_diem_chuan
điểm chuẩn kiến trúc năm 2023,hoi_diem_chuan
điểm vào thiết kế đồ họa năm gần nhất,hoi_diem_chuan
điểm vào thiết kế thời trang năm gần nhất,hoi_diem_chuan
điểm trúng tuyển năm ngoái ngành kiến trúc,hoi_diem_chuan
điểm chuẩn kỹ thuật xây dựng năm 2023,hoi_diem_chuan
điểm trúng tuyển năm ngoái ngành quy hoạch,hoi_diem_chuan
điểm vào mỹ thuật đô thị năm gần nhất,hoi_diem_chuan
ngưỡng đảm bảo chất lượng ngành kiến trúc nội thất,hoi_diem_san
điểm sàn 2021 của ngành kiến trúc nội thất,hoi_diem_san
điểm sàn 2022 của ngành thiết kế thời trang,hoi_diem_san
điểm sàn 2022 của ngành quy hoạch,hoi_diem_san
điểm sàn 2024 của ngành kiến trúc,hoi_diem_san
điểm sàn 2022 của ngành kiến trúc nội thất,hoi_diem_san
điểm sàn 2024 của ngành thiết kế thời trang,hoi_diem_san
điểm sàn 2023 của ngành kỹ thuật xây dựng,hoi_diem_san
điểm sàn 2024 của ngành mỹ thuật đô thị,hoi_diem_san
điểm sàn 2022 của ngành kỹ thuật xây dựng,hoi_diem_san
ngưỡng đảm bảo chất lượng ngành xây dựng là bao nhiêu,hoi_diem_san
điểm sàn học bạ 2023,hoi_diem_san
điểm sàn của trường năm 2022,hoi_diem_san
điểm sàn xét tuyển năm nay,hoi_diem_san
điểm sàn 2024 của ngành kiến trúc nội thất,hoi_diem_san
điểm sàn theo phương thức thi tốt nghiệp,hoi_diem_san
điểm sàn 2021 của ngành kiến trúc,hoi_diem_san
điểm sàn 2021 của ngành mỹ thuật đô thị,hoi_diem_san
điểm sàn 2023 của ngành quy hoạch,hoi_diem_san
điểm sàn theo đánh giá năng lực,hoi_diem_san
điểm sàn 2023 của ngành mỹ thuật đô thị,hoi_diem_san
điểm sàn theo học bạ,hoi_diem_san
ngưỡng đảm bảo chất lượng ngành quy hoạch,hoi_diem_san
điểm sàn 2024 của ngành thiết kế đồ họa,hoi_diem_san
điểm sàn 2022 của ngành mỹ thuật đô thị,hoi_diem_san
ngưỡng đảm bảo chất lượng ngành mỹ thuật đô thị,hoi_diem_san
tổ hợp xét tuyển ngành thiết kế đồ họa,hoi_to_hop_mon
các tổ hợp cho kiến trúc,hoi_to_hop_mon
tổ hợp xét tuyển ngành kỹ thuật xây dựng,hoi_to_hop_mon
ngành thiết kế đồ họa dùng tổ hợp nào,hoi_to_hop_mon
tổ hợp xét tuyển ngành kiến trúc nội thất,hoi_to_hop_mon
các tổ hợp cho kỹ thuật xây dựng,hoi_to_hop_mon
tổ hợp xét tuyển ngành kiến trúc,hoi_to_hop_mon
tổ hợp môn cho ngành thiết kế thời trang,hoi_to_hop_mon
các tổ hợp cho quy hoạch,hoi_to_hop_mon
tổ hợp môn vào ngành mỹ thuật đô thị,hoi_to_hop_mon
tổ hợp xét tuyển ngành quy hoạch,hoi_to_hop_mon
ngành kỹ thuật xây dựng dùng tổ hợp nào,hoi_to_hop_mon
các tổ hợp cho kiến trúc nội thất,hoi_to_hop_mon
tổ hợp môn vào ngành kỹ thuật xây dựng,hoi_to_hop_mon
tổ hợp nào cho ngành quy hoạch,hoi_to_hop_mon
tổ hợp xét tuyển ngành thiết kế thời trang,hoi_to_hop_mon
các tổ hợp xét tuyển A00 A01 D01,hoi_to_hop_mon
ngành mỹ thuật đô thị dùng tổ hợp nào,hoi_to_hop_mon
ngành kiến trúc nội thất dùng tổ hợp nào,hoi_to_hop_mon
tổ hợp môn vào thiết kế thời trang,hoi_to_hop_mon
tổ hợp môn vào kiến trúc nội thất,hoi_to_hop_mon
tổ hợp môn vào thiết kế đồ họa,hoi_to_hop_mon
tổ hợp xét tuyển ngành mỹ thuật đô thị,hoi_to_hop_mon
tổ hợp môn vào kiến trúc,hoi_to_hop_mon
các tổ hợp cho thiết kế đồ họa,hoi_to_hop_mon
các tổ hợp cho thiết kế thời trang,hoi_to_hop_mon
ngành kiến trúc dùng tổ hợp nào,hoi_to_hop_mon
tổ hợp môn vào kỹ thuật xây dựng,hoi_to_hop_mon
