utterance,intent
xin chào,chao_hoi
chào bạn,chao_hoi
hello,chao_hoi
hi,chao_hoi
chào chatbot,chao_hoi
alo có ai không,chao_hoi
tạm biệt,tam_biet
bye,tam_biet
hẹn gặp lại,tam_biet
mình đi đây,tam_biet
see you,tam_biet
kết thúc trò chuyện,tam_biet
bắt đầu lại,reset_context
xóa ngữ cảnh,reset_context
reset cuộc trò chuyện,reset_context
làm mới phiên chat,reset_context
xóa hết câu trước,reset_context
start over,reset_context
gợi ý câu hỏi,tro_giup
hướng dẫn cách dùng,tro_giup
giúp tôi với,tro_giup
tôi cần trợ giúp,tro_giup
có những câu hỏi nào,tro_giup
how to use,tro_giup
ờm cái kia là gì,fallback
tư vấn hay gì đó,fallback
random text,fallback
không rõ nữa,fallback
???,fallback
câu hỏi không rõ,fallback
điểm chuẩn ngành kiến trúc năm 2023,hoi_diem_chuan
điểm trúng tuyển năm ngoái ngành kỹ thuật xây dựng,hoi_diem_chuan
điểm chuẩn 2022 của ngành quy hoạch là bao nhiêu,hoi_diem_chuan
điểm vào ngành thiết kế đồ họa năm gần nhất,hoi_diem_chuan
điểm chuẩn ngành xây dựng dân dụng 2021,hoi_diem_chuan
điểm năm trước của ngành nội thất,hoi_diem_chuan
điểm sàn 2024 của ngành kiến trúc,hoi_diem_san
ngưỡng đảm bảo chất lượng ngành xây dựng là bao nhiêu,hoi_diem_san
điểm sàn xét tuyển năm nay,hoi_diem_san
điểm sàn theo phương thức thi tốt nghiệp,hoi_diem_san
điểm sàn học bạ 2023,hoi_diem_san
điểm sàn của trường năm 2022,hoi_diem_san
tổ hợp xét tuyển ngành kiến trúc,hoi_to_hop_mon
tổ hợp môn vào ngành kỹ thuật xây dựng,hoi_to_hop_mon
tổ hợp nào cho ngành quy hoạch,hoi_to_hop_mon
các tổ hợp xét tuyển A00 A01 D01,hoi_to_hop_mon
tổ hợp môn cho ngành thiết kế thời trang,hoi_to_hop_mon
tổ hợp môn vào ngành mỹ thuật đô thị,hoi_to_hop_mon
khối thi ngành kiến trúc,hoi_khoi_thi
ngành xây dựng xét khối nào,hoi_khoi_thi
ngành đồ họa thi khối gì,hoi_khoi_thi
khối thi vào trường là gì,hoi_khoi_thi
khối nào cho ngành thời trang,hoi_khoi_thi
vào ngành nội thất cần khối nào,hoi_khoi_thi
ngành kiến trúc học gì,hoi_nganh_hoc
giới thiệu ngành kỹ thuật xây dựng,hoi_nganh_hoc
ngành quy hoạch ra làm gì,hoi_nganh_hoc
nội dung học của ngành thiết kế công nghiệp,hoi_nganh_hoc
ngành đồ họa học những môn nào,hoi_nganh_hoc
mô tả ngành kiến trúc cảnh quan,hoi_nganh_hoc
mã ngành kiến trúc là gì,hoi_ma_nganh
mã ngành kỹ thuật xây dựng,hoi_ma_nganh
cho mình mã ngành quy hoạch,hoi_ma_nganh
mã ngành thiết kế đồ họa,hoi_ma_nganh
mã ngành kiến trúc nội thất,hoi_ma_nganh
mã ngành mỹ thuật đô thị,hoi_ma_nganh
học phí ngành xây dựng bao nhiêu,hoi_hoc_phi
mức thu học phí của trường,hoi_hoc_phi
học phí một năm là bao nhiêu tiền,hoi_hoc_phi
học phí ngành kiến trúc,hoi_hoc_phi
