intent,utterance,type,example
hoi_dieu_kien,Có cách ra sao vào ngành Công nghệ thông tin dễ hơn không?,indirect,
hoi_to_hop_mon,Tổ hợp môn nào xét vào ngành học Công nghệ thông tin?,direct,
hoi_diem_san,Theo bạn thì bộ môn Quản lý xây dựng có khó đỗ không?,indirect,
hoi_to_hop_mon,Điểm chuẩn bộ môn Logistics năm nay là bao nhiêu?,direct,
hoi_diem_san,Nếu học Khoa học Máy tính thì cần chuẩn bị gì? nhỉ,indirect,
hoi_phuong_thuc,Tổ hợp môn nào xét vào ngành Công nghệ thông tin?,direct,
hoi_to_hop_mon,Theo bạn thì chuyên ngành Công nghệ thông tin có khó đỗ không?,indirect,
hoi_chi_tieu,Ngành Quản lý xây dựng thì có xét học bạ không? ạ,followup,
fallback,Tổ hợp môn gì xét vào ngành Công nghệ thông tin?,direct,
hoi_nganh_hoc,Trường mình đại học có những chuyên ngành thế nào,direct,
hoi_to_hop_mon,Muốn vào Logistics thì cần đạt khoảng mấy điểm nhỉ?,indirect,
chao_hoi,Ngành Khoa học Máy tính thì có xét học bạ không? vậy,followup,
hoi_chi_tieu,Tổ hợp môn thế nào xét vào ngành Khoa học Máy tính?,direct,
fallback,Tổ hợp môn ra sao xét vào ngành Công nghệ thông tin?,direct,
hoi_thoi_gian_dk,Theo bạn thì ngành Logistics có khó đỗ không?,indirect,
hoi_thoi_gian_dk,Khi ra sao bắt đầu đăng ký xét tuyển v-sat,direct,
hoi_nganh_hoc,Ngành {'LOWER': 'cơ'} {'LOWER': 'khí'} có mấy chuyên chuyên bộ môn,direct,
chao_hoi,Có cách thế nào vào ngành Quản lý xây dựng dễ hơn không?,indirect,
hoi_diem_san,Cho tôi biết điểm chuẩn thấp nhất của {'LOWER': 'xd'},direct,
chao_hoi,Chào buổi sáng,direct,
fallback,Điểm chuẩn chuyên ngành Quản lý xây dựng năm nay là bao nhiêu?,direct,
hoi_nganh_hoc,Còn Khoa học Máy tính thì điểm sàn thế nào?,followup,
fallback,Có cách nào vào ngành Logistics dễ hơn không?,indirect,
hoi_thoi_gian_dk,Điểm chuẩn ngành Quản lý xây dựng năm nay là bao nhiêu?,direct,
